epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.3906,0.36432,0,0,0,0.000331276,0.000331276,0.000331276
2,46.8094,0.00303,0,0,0,0.00065145,0.00065145,0.00065145
3,68.9623,0.00082,0,0,0,0.000958424,0.000958424,0.000958424
4,91.3418,0.00039,0,0,0,0.0009406,0.0009406,0.0009406
5,113.707,0.00023,0,0,0,0.0009208,0.0009208,0.0009208
6,135.786,0.00015,0,0,0,0.000901,0.000901,0.000901
7,157.939,0.00012,0,0,0,0.0008812,0.0008812,0.0008812
8,179.398,0.0001,0,0,0,0.0008614,0.0008614,0.0008614
9,203.135,0.00014,0,0,0,0.0008416,0.0008416,0.0008416
10,227.565,8e-05,0,0,0,0.0008218,0.0008218,0.0008218
11,259.594,6e-05,0,0,0,0.000802,0.000802,0.000802
12,290.73,6e-05,0,0,0,0.0007822,0.0007822,0.0007822
13,321.348,5e-05,0,0,0,0.0007624,0.0007624,0.0007624
14,352.031,4e-05,0,0,0,0.0007426,0.0007426,0.0007426
15,382.165,4e-05,0,0,0,0.0007228,0.0007228,0.0007228
16,414.433,4e-05,0,0,0,0.000703,0.000703,0.000703
17,446.012,3e-05,0,0,0,0.0006832,0.0006832,0.0006832
18,474.346,3e-05,0,0,0,0.0006634,0.0006634,0.0006634
19,501.588,3e-05,0,0,0,0.0006436,0.0006436,0.0006436
20,529.22,2e-05,0,0,0,0.0006238,0.0006238,0.0006238
21,557.269,3e-05,0,0,0,0.000604,0.000604,0.000604
22,585.606,2e-05,0,0,0,0.0005842,0.0005842,0.0005842
23,613.985,2e-05,0,0,0,0.0005644,0.0005644,0.0005644
24,640.756,2e-05,0,0,0,0.0005446,0.0005446,0.0005446
25,668.785,2e-05,0,0,0,0.0005248,0.0005248,0.0005248
26,695.597,2e-05,0,0,0,0.000505,0.000505,0.000505
27,723.745,2e-05,0,0,0,0.0004852,0.0004852,0.0004852
28,753.741,2e-05,0,0,0,0.0004654,0.0004654,0.0004654
29,780.641,2e-05,0,0,0,0.0004456,0.0004456,0.0004456
30,807.696,2e-05,0,0,0,0.0004258,0.0004258,0.0004258
31,834.471,2e-05,0,0,0,0.000406,0.000406,0.000406
32,860.903,1e-05,0,0,0,0.0003862,0.0003862,0.0003862
33,888.414,1e-05,0,0,0,0.0003664,0.0003664,0.0003664
34,913.74,1e-05,0,0,0,0.0003466,0.0003466,0.0003466
35,938.866,1e-05,0,0,0,0.0003268,0.0003268,0.0003268
36,965.27,1e-05,0,0,0,0.000307,0.000307,0.000307
37,992.815,1e-05,0,0,0,0.0002872,0.0002872,0.0002872
38,1019.39,1e-05,0,0,0,0.0002674,0.0002674,0.0002674
39,1046.06,1e-05,0,0,0,0.0002476,0.0002476,0.0002476
40,1073.63,1e-05,0,0,0,0.0002278,0.0002278,0.0002278
41,1100.88,1e-05,0,0,0,0.000208,0.000208,0.000208
42,1127.3,1e-05,0,0,0,0.0001882,0.0001882,0.0001882
43,1153.31,1e-05,0,0,0,0.0001684,0.0001684,0.0001684
44,1179.09,1e-05,0,0,0,0.0001486,0.0001486,0.0001486
45,1203.89,1e-05,0,0,0,0.0001288,0.0001288,0.0001288
46,1229.13,1e-05,0,0,0,0.000109,0.000109,0.000109
47,1254.56,1e-05,0,0,0,8.92e-05,8.92e-05,8.92e-05
48,1282.62,1e-05,0,0,0,6.94e-05,6.94e-05,6.94e-05
49,1308.78,1e-05,0,0,0,4.96e-05,4.96e-05,4.96e-05
