epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,15868.6,1.68798,1.64617,1.55802,0.6149,0.54151,0.51851,0.26561,1.86326,1.83532,1.76911,0.000660045,0.000660045,0.000660045
43,16186.9,1.69013,1.62092,1.54558,0.73175,0.49479,0.53737,0.27922,1.84891,1.78931,1.75861,0.000649046,0.000649046,0.000649046
44,16498.6,1.67862,1.62517,1.53592,0.51303,0.54757,0.49533,0.26876,1.84183,1.82259,1.75064,0.000638047,0.000638047,0.000638047
45,16803.1,1.67572,1.61105,1.54701,0.65439,0.54878,0.54066,0.28264,1.8797,1.7485,1.75796,0.000627048,0.000627048,0.000627048
46,17106.4,1.67585,1.59738,1.53878,0.56938,0.56666,0.51361,0.26382,1.8575,1.86261,1.76069,0.000616049,0.000616049,0.000616049
47,17425,1.65501,1.58548,1.53384,0.67246,0.54441,0.55581,0.29214,1.82709,1.69173,1.73582,0.000605051,0.000605051,0.000605051
48,17737.7,1.6376,1.57408,1.52938,0.66772,0.57447,0.57714,0.31259,1.8361,1.68305,1.73261,0.000594052,0.000594052,0.000594052
49,18058,1.65556,1.57482,1.51749,0.65197,0.56055,0.5368,0.27922,1.83805,1.75109,1.73789,0.000583053,0.000583053,0.000583053
50,18380.2,1.63624,1.54903,1.51926,0.65274,0.54605,0.53337,0.28249,1.83451,1.71562,1.74816,0.000572054,0.000572054,0.000572054
51,18685.3,1.6484,1.56384,1.51792,0.66562,0.56157,0.55198,0.29014,1.84241,1.69809,1.73604,0.000561055,0.000561055,0.000561055
52,18995.5,1.63191,1.53207,1.51265,0.63939,0.56798,0.54301,0.28075,1.84332,1.73792,1.7426,0.000550056,0.000550056,0.000550056
53,19354.3,1.61196,1.53197,1.50141,0.6649,0.58653,0.56372,0.2884,1.84083,1.73345,1.74589,0.000539057,0.000539057,0.000539057
54,19734.1,1.59265,1.44229,1.47287,0.66789,0.54273,0.54135,0.28045,1.84905,1.70215,1.73951,0.000528058,0.000528058,0.000528058
55,20070.2,1.60078,1.45938,1.48824,0.66049,0.54537,0.55322,0.28775,1.85912,1.64962,1.74237,0.000517059,0.000517059,0.000517059
56,20459.6,1.58811,1.46266,1.47555,0.69348,0.53836,0.56492,0.29852,1.83593,1.66676,1.73441,0.00050606,0.00050606,0.00050606
57,20792.5,1.61517,1.46098,1.49641,0.68936,0.5319,0.54105,0.29283,1.81484,1.64619,1.72901,0.000495062,0.000495062,0.000495062
58,21139.4,1.58472,1.43547,1.4699,0.65731,0.55615,0.55426,0.2934,1.83759,1.6999,1.7513,0.000484063,0.000484063,0.000484063
59,21471.6,1.55749,1.42584,1.46175,0.66568,0.55905,0.57279,0.29906,1.83285,1.62502,1.73314,0.000473064,0.000473064,0.000473064
60,21820.4,1.58225,1.39704,1.46101,0.67367,0.58121,0.56922,0.30141,1.84022,1.61436,1.74088,0.000462065,0.000462065,0.000462065
61,22176.5,1.55037,1.40019,1.46035,0.64203,0.6147,0.58315,0.3084,1.83198,1.65004,1.72415,0.000451066,0.000451066,0.000451066
62,22533.2,1.55401,1.37973,1.45025,0.69883,0.57612,0.58052,0.31218,1.81648,1.6003,1.71382,0.000440067,0.000440067,0.000440067
63,22872.3,1.55072,1.39369,1.45341,0.65094,0.59229,0.5649,0.29832,1.8156,1.59069,1.73232,0.000429068,0.000429068,0.000429068
64,23225.3,1.5533,1.38098,1.45234,0.67717,0.53511,0.55318,0.30648,1.81798,1.6047,1.72322,0.000418069,0.000418069,0.000418069
65,23576,1.54225,1.3532,1.44495,0.72884,0.57361,0.60057,0.33987,1.78317,1.59143,1.70236,0.00040707,0.00040707,0.00040707
66,23933.3,1.51088,1.32526,1.42407,0.73683,0.57896,0.60507,0.32012,1.82103,1.58925,1.73919,0.000396071,0.000396071,0.000396071
67,24284.7,1.52023,1.33395,1.42782,0.75799,0.54273,0.59663,0.32057,1.82516,1.59957,1.73328,0.000385073,0.000385073,0.000385073
68,24656,1.52255,1.31424,1.43441,0.7679,0.58292,0.61131,0.33408,1.84395,1.54027,1.74488,0.000374074,0.000374074,0.000374074
69,25001.9,1.52816,1.33882,1.43481,0.73198,0.59893,0.6195,0.35536,1.8236,1.54189,1.72411,0.000363075,0.000363075,0.000363075
70,25310.5,1.50388,1.29003,1.40891,0.72563,0.58976,0.6089,0.33391,1.7991,1.54311,1.70901,0.000352076,0.000352076,0.000352076
71,25618,1.4934,1.29044,1.40941,0.72059,0.56001,0.59153,0.32421,1.81408,1.5376,1.72013,0.000341077,0.000341077,0.000341077
72,25933.4,1.47704,1.25793,1.40226,0.75563,0.58859,0.60967,0.32611,1.82892,1.52793,1.74285,0.000330078,0.000330078,0.000330078
73,26251.9,1.48685,1.276,1.40938,0.72383,0.59595,0.6023,0.32129,1.81354,1.58076,1.73971,0.000319079,0.000319079,0.000319079
74,26566.7,1.47685,1.25096,1.39788,0.74907,0.60172,0.59896,0.32163,1.84957,1.52111,1.7535,0.00030808,0.00030808,0.00030808
75,26858.1,1.48332,1.2419,1.40049,0.74521,0.55864,0.60266,0.33461,1.82346,1.50756,1.73036,0.000297081,0.000297081,0.000297081
76,27146.5,1.45904,1.22831,1.38151,0.74468,0.61576,0.61866,0.33934,1.83628,1.52605,1.74888,0.000286083,0.000286083,0.000286083
77,27442.3,1.45353,1.2137,1.38268,0.73559,0.57007,0.60326,0.32743,1.82211,1.4957,1.73296,0.000275084,0.000275084,0.000275084
78,27744.7,1.45973,1.22567,1.38818,0.69682,0.5985,0.60435,0.32,1.8275,1.49813,1.73679,0.000264085,0.000264085,0.000264085
79,28046.1,1.43935,1.21462,1.37746,0.73843,0.57922,0.60609,0.32143,1.81802,1.49693,1.73742,0.000253086,0.000253086,0.000253086
80,28344,1.44239,1.22028,1.38273,0.67245,0.62552,0.59691,0.32376,1.82769,1.49524,1.73863,0.000242087,0.000242087,0.000242087
81,28638.9,1.43695,1.17739,1.3685,0.71826,0.5935,0.61906,0.34513,1.82014,1.45713,1.73922,0.000231088,0.000231088,0.000231088
82,28950,1.42312,1.18548,1.36425,0.69502,0.5964,0.61258,0.333,1.81809,1.47393,1.74023,0.000220089,0.000220089,0.000220089
83,29271,1.42226,1.17569,1.35296,0.70838,0.62791,0.64133,0.34073,1.82949,1.42712,1.7503,0.00020909,0.00020909,0.00020909
84,29598,1.42536,1.16948,1.36546,0.74099,0.62114,0.62972,0.34741,1.81082,1.44262,1.72562,0.000198091,0.000198091,0.000198091
85,29913.4,1.43219,1.16446,1.35902,0.73647,0.58023,0.61612,0.33191,1.83247,1.45988,1.73962,0.000187092,0.000187092,0.000187092
86,30225.7,1.41198,1.14258,1.34622,0.71717,0.59457,0.62775,0.34175,1.81301,1.45278,1.72885,0.000176094,0.000176094,0.000176094
87,30536.1,1.40296,1.144,1.34775,0.71991,0.59203,0.6273,0.34316,1.7977,1.44049,1.71059,0.000165095,0.000165095,0.000165095
88,30860.5,1.38952,1.12519,1.34354,0.7004,0.63149,0.6422,0.35105,1.81572,1.45053,1.72547,0.000154096,0.000154096,0.000154096
89,31166,1.38397,1.11527,1.3334,0.73508,0.58548,0.62202,0.35054,1.81382,1.47416,1.73124,0.000143097,0.000143097,0.000143097
90,31473.1,1.37485,1.11414,1.3377,0.71232,0.62128,0.60309,0.33489,1.82196,1.44276,1.73571,0.000132098,0.000132098,0.000132098
91,31785.6,1.35077,1.01268,1.339,0.71533,0.58988,0.60392,0.33625,1.81601,1.44499,1.73997,0.000121099,0.000121099,0.000121099
92,32082.2,1.34274,0.97483,1.33648,0.71526,0.57612,0.61061,0.33349,1.80701,1.42928,1.73695,0.0001101,0.0001101,0.0001101
93,32379.8,1.31106,0.94058,1.31171,0.71834,0.58311,0.60582,0.32944,1.8088,1.44166,1.74139,9.91012e-05,9.91012e-05,9.91012e-05
94,32687.5,1.31464,0.9404,1.3192,0.72077,0.58635,0.6131,0.33212,1.80502,1.43351,1.74289,8.81023e-05,8.81023e-05,8.81023e-05
95,32989.2,1.29882,0.91668,1.30708,0.70467,0.61245,0.61572,0.3331,1.80272,1.43555,1.73123,7.71034e-05,7.71034e-05,7.71034e-05
96,33327.3,1.29493,0.92302,1.3083,0.69405,0.60058,0.61484,0.33322,1.80487,1.42916,1.73208,6.61045e-05,6.61045e-05,6.61045e-05
97,33676.7,1.29464,0.923,1.30515,0.69405,0.62234,0.6193,0.33637,1.81012,1.42759,1.73443,5.51056e-05,5.51056e-05,5.51056e-05
98,33987.8,1.28182,0.90717,1.29824,0.72684,0.58531,0.62324,0.33511,1.81421,1.43654,1.73574,4.41067e-05,4.41067e-05,4.41067e-05
99,34294.9,1.27182,0.89456,1.28497,0.72569,0.58985,0.62535,0.34521,1.81175,1.43319,1.73387,3.31078e-05,3.31078e-05,3.31078e-05
100,34624.6,1.27468,0.8935,1.28588,0.72328,0.59783,0.6214,0.34142,1.81167,1.42598,1.73662,2.21089e-05,2.21089e-05,2.21089e-05
