epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,28.9433,1.18368,0,0,0,0.000332305,0.000332305,0.000332305
2,56.648,0.67905,0,0,0,0.00064681,0.00064681,0.00064681
3,83.3018,0.5264,0,0,0,0.000942458,0.000942458,0.000942458
4,110.315,0.46485,0,0,0,0.000915143,0.000915143,0.000915143
5,136.566,0.44605,0,0,0,0.000886857,0.000886857,0.000886857
6,161.959,0.38672,0,0,0,0.000858571,0.000858571,0.000858571
7,186.894,0.36112,0,0,0,0.000830286,0.000830286,0.000830286
8,212.368,0.34564,0,0,0,0.000802,0.000802,0.000802
9,238.265,0.33496,0,0,0,0.000773714,0.000773714,0.000773714
10,264.222,0.31486,0,0,0,0.000745429,0.000745429,0.000745429
11,290.899,0.27456,0,0,0,0.000717143,0.000717143,0.000717143
12,317.182,0.27254,0,0,0,0.000688857,0.000688857,0.000688857
13,343.505,0.2859,0,0,0,0.000660571,0.000660571,0.000660571
14,370.392,0.25353,0,0,0,0.000632286,0.000632286,0.000632286
15,397.711,0.24481,0,0,0,0.000604,0.000604,0.000604
16,425.269,0.22917,0,0,0,0.000575714,0.000575714,0.000575714
17,452.465,0.21171,0,0,0,0.000547429,0.000547429,0.000547429
18,479.633,0.21751,0,0,0,0.000519143,0.000519143,0.000519143
19,506.918,0.18585,0,0,0,0.000490857,0.000490857,0.000490857
20,534,0.19718,0,0,0,0.000462571,0.000462571,0.000462571
21,561.879,0.19473,0,0,0,0.000434286,0.000434286,0.000434286
22,589.689,0.18338,0,0,0,0.000406,0.000406,0.000406
23,617.754,0.19009,0,0,0,0.000377714,0.000377714,0.000377714
24,645.511,0.18082,0,0,0,0.000349429,0.000349429,0.000349429
25,672.031,0.17611,0,0,0,0.000321143,0.000321143,0.000321143
26,700.046,0.17404,0,0,0,0.000292857,0.000292857,0.000292857
27,728.028,0.17452,0,0,0,0.000264571,0.000264571,0.000264571
28,756.342,0.16073,0,0,0,0.000236286,0.000236286,0.000236286
29,784.193,0.16039,0,0,0,0.000208,0.000208,0.000208
30,812.086,0.15026,0,0,0,0.000179714,0.000179714,0.000179714
31,840.834,0.14637,0,0,0,0.000151429,0.000151429,0.000151429
32,868.947,0.1417,0,0,0,0.000123143,0.000123143,0.000123143
33,900.076,0.13946,0,0,0,9.48571e-05,9.48571e-05,9.48571e-05
34,929.538,0.15314,0,0,0,6.65714e-05,6.65714e-05,6.65714e-05
35,962.307,0.13442,0.70866,0.98622,2.53611,3.82857e-05,3.82857e-05,3.82857e-05
